Время: 04/15/2017 20:28:39 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,837340055423481| Всего: 0,837340055423481| Состояние: OK 
Время: 04/15/2017 20:28:41 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,250373127521189| Всего: 1,08771318294467| Состояние: OK 
Время: 04/15/2017 20:28:44 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,815431146330867| Всего: 1,90314432927554| Состояние: OK 
Время: 04/15/2017 20:28:47 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,921357571110762| Всего: 2,8245019003863| Состояние: OK 
Время: 04/15/2017 20:28:50 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,3396247319596| Всего: 3,1641266323459| Состояние: OK 
Время: 04/15/2017 20:28:53 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,689782572300072| Всего: 3,85390920464597| Состояние: OK 
Время: 04/15/2017 20:28:56 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,717188813126268| Всего: 4,57109801777224| Состояние: OK 
Время: 04/15/2017 20:28:59 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,636454363649923| Всего: 5,20755238142216| Состояние: OK 
Время: 04/15/2017 20:29:02 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,910978876478495| Всего: 6,11853125790065| Состояние: OK 
Время: 04/15/2017 20:29:05 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,0630657240110756| Всего: 6,18159698191173| Состояние: OK 
Время: 04/15/2017 20:29:08 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,974716844491063| Всего: 7,15631382640279| Состояние: OK 
Время: 04/15/2017 20:29:11 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,599639968760144| Всего: 7,75595379516293| Состояние: OK 
Время: 04/15/2017 20:29:14 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,481915403847543| Всего: 8,23786919901047| Состояние: OK 
Время: 04/15/2017 20:29:17 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,283399166671279| Всего: 8,52126836568175| Состояние: OK 
Время: 04/15/2017 20:29:20 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,483229059951021| Всего: 9,00449742563277| Состояние: OK 
Время: 04/15/2017 20:29:23 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,846585491600719| Всего: 9,85108291723349| Состояние: OK 
Время: 04/15/2017 20:29:26 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,2879966009818| Всего: 10,1390795182153| Состояние: OK 
Время: 04/15/2017 20:29:29 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,0485417070093293| Всего: 10,1876212252246| Состояние: OK 
Время: 04/15/2017 20:29:32 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,821486532139353| Всего: 11,009107757364| Состояние: OK 
Время: 04/15/2017 20:29:35 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,54103341584142| Всего: 11,5501411732054| Состояние: OK 
Время: 04/15/2017 20:29:38 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,380421472890499| Всего: 11,9305626460959| Состояние: OK 
Время: 04/15/2017 20:29:41 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,606724736097606| Всего: 12,5372873821935| Состояние: OK 
Время: 04/15/2017 20:29:44 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,0829819823070345| Всего: 12,6202693645005| Состояние: OK 
Время: 04/15/2017 20:29:47 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,963522080315054| Всего: 13,5837914448156| Состояние: OK 
Время: 04/15/2017 20:29:50 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,886983750335399| Всего: 14,470775195151| Состояние: OK 
Время: 04/15/2017 20:29:53 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,429579217652594| Всего: 14,9003544128036| Состояние: OK 
Время: 04/15/2017 20:29:56 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,890746025317696| Всего: 15,7911004381213| Состояние: OK 
Время: 04/15/2017 20:29:59 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,219695308348022| Всего: 16,0107957464693| Состояние: OK 
Время: 04/15/2017 20:30:02 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,476639134100005| Всего: 16,4874348805693| Состояние: OK 
Время: 04/15/2017 20:30:05 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,051713673887641| Всего: 16,5391485544569| Состояние: OK 
Время: 04/15/2017 20:30:08 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,838505234494109| Всего: 17,377653788951| Состояние: OK 
Время: 04/15/2017 20:30:11 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,805996066800317| Всего: 18,1836498557513| Состояние: OK 
Время: 04/15/2017 20:30:14 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,284679304475281| Всего: 18,4683291602266| Состояние: OK 
Время: 04/15/2017 20:30:17 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,462039618502389| Всего: 18,930368778729| Состояние: OK 
Время: 04/15/2017 20:30:20 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,989521183999964| Всего: 19,919889962729| Состояние: OK 
Время: 04/15/2017 20:30:23 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,00631892681416074| Всего: 19,9262088895432| Состояние: NOLOAD 
Время: 04/15/2017 20:30:26 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,997747933956677| Всего: 20,9239568234999| Состояние: OK 
Время: 04/15/2017 20:30:29 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,254059962115278| Всего: 21,1780167856152| Состояние: OK 
Время: 04/15/2017 20:30:32 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,0412783399416499| Всего: 21,2192951255568| Состояние: OK 
Время: 04/15/2017 20:30:35 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,792145031873204| Всего: 22,01144015743| Состояние: OK 
Время: 04/15/2017 20:30:38 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,355025948656269| Всего: 22,3664661060863| Состояние: OK 
Время: 04/15/2017 20:30:41 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,0124953249527585| Всего: 22,3789614310391| Состояние: OK 
Время: 04/15/2017 20:30:44 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,541431621434834| Всего: 22,9203930524739| Состояние: OK 
Время: 04/15/2017 20:30:47 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,241044132616857| Всего: 23,1614371850908| Состояние: OK 
Время: 04/15/2017 20:30:50 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,00979607832142901| Всего: 23,1712332634122| Состояние: NOLOAD 
Время: 04/15/2017 20:30:53 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,581627122397361| Всего: 23,7528603858096| Состояние: OK 
Время: 04/15/2017 20:30:56 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,000275996513793243| Всего: 23,7531363823234| Состояние: NOLOAD 
Время: 04/15/2017 20:30:59 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,180295002265039| Всего: 23,9334313845884| Состояние: OK 
Время: 04/15/2017 20:31:02 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,869493772214974| Всего: 24,8029251568034| Состояние: OK 
Время: 04/15/2017 20:31:05 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,0971314823707247| Всего: 24,9000566391741| Состояние: OK 
Время: 04/15/2017 20:31:08 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,929123641890066| Всего: 25,8291802810642| Состояние: OK 
Время: 04/15/2017 20:31:11 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,789942864230807| Всего: 26,619123145295| Состояние: OK 
Время: 04/15/2017 20:31:14 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,695087949603371| Всего: 27,3142110948984| Состояние: OK 
Время: 04/15/2017 20:31:17 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,289702173457342| Всего: 27,6039132683557| Состояние: OK 
Время: 04/15/2017 20:31:20 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,934453014719511| Всего: 28,5383662830752| Состояние: OK 
Время: 04/15/2017 20:31:23 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,230615319325875| Всего: 28,7689816024011| Состояние: OK 
Время: 04/15/2017 20:31:26 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,167391145214155| Всего: 28,9363727476153| Состояние: OK 
Время: 04/15/2017 20:31:29 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,851909066015812| Всего: 29,7882818136311| Состояние: OK 
Время: 04/15/2017 20:31:32 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,0343738207753626| Всего: 29,8226556344065| Состояние: OK 
Время: 04/15/2017 20:31:35 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,910045514307006| Всего: 30,7327011487135| Состояние: OK 
Время: 04/15/2017 20:31:38 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,799036546982376| Всего: 31,5317376956959| Состояние: OK 
Время: 04/15/2017 20:31:41 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,497493504778246| Всего: 32,0292312004741| Состояние: OK 
Время: 04/15/2017 20:31:44 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,159815229549918| Всего: 32,189046430024| Состояние: OK 
Время: 04/15/2017 20:31:47 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,859265202590853| Всего: 33,0483116326149| Состояние: OK 
Время: 04/15/2017 20:31:50 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,224560489516966| Всего: 33,2728721221319| Состояние: OK 
Время: 04/15/2017 20:31:53 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,168720777690746| Всего: 33,4415928998226| Состояние: OK 
Время: 04/15/2017 20:31:56 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,314960664284863| Всего: 33,7565535641075| Состояние: OK 
Время: 04/15/2017 20:32:00 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,0198757853451538| Всего: 33,7764293494527| Состояние: OK 
Время: 04/15/2017 20:32:02 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,293877982671316| Всего: 34,070307332124| Состояние: OK 
Время: 04/15/2017 20:32:05 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,47691013313686| Всего: 34,5472174652609| Состояние: OK 
Время: 04/15/2017 20:32:08 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,848837557644042| Всего: 35,3960550229049| Состояние: OK 
Время: 04/15/2017 20:32:11 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,0339366388665217| Всего: 35,4299916617714| Состояние: OK 
Время: 04/15/2017 20:32:15 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,00726336706767947| Всего: 35,4372550288391| Состояние: NOLOAD 
Время: 04/15/2017 20:32:18 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,0293415002661485| Всего: 35,4665965291052| Состояние: OK 
Время: 04/15/2017 20:32:21 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,186007467185151| Всего: 35,6526039962904| Состояние: OK 
Время: 04/15/2017 20:32:24 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,36792614793774| Всего: 36,0205301442281| Состояние: OK 
Время: 04/15/2017 20:32:27 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,0652931146627726| Всего: 36,0858232588909| Состояние: OK 
Время: 04/15/2017 20:32:30 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,841937849690177| Всего: 36,9277611085811| Состояние: OK 
Время: 04/15/2017 20:32:33 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,953726001993625| Всего: 37,8814871105747| Состояние: OK 
Время: 04/15/2017 20:32:36 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,305356627938038| Всего: 38,1868437385127| Состояние: OK 
Время: 04/15/2017 20:32:39 Подразделение:  ДСЗ-3| Устройство: Конус 1| Текущие показания: 0,429303221138801| Всего: 38,6161469596515| Состояние: OK 
